id;parroquia;id_canton
204;GONZÁLEZ SUÁREZ;35
205;HUACA;35
206;JULIO ANDRADE (OREJUELA);35
207;MALDONADO;35
208;MARISCAL SUCRE;35
209;PIOTER;35
210;SANTA MARTHA DE CUBA;35
211;TOBAR DONOSO (LA BOCANA DE CAMUMBÍ);35
212;TUFIÑO;35
213;TULCÁN;35
214;URBINA (TAYA);35
215;ACHUPALLAS;36
216;ALAUSÍ;36
217;CUMANDÁ;36
218;GUASUNTOS;36
219;HUIGRA;36
220;MULTITUD;36
221;PISTISHÍ (NARIZ DEL DIABLO);36
222;PUMALLACTA;36
223;SEVILLA;36
224;SIBAMBE;36
225;TIXÁN;36
226;CHAMBO;37
227;CAPZOL;38
228;CHUNCHI;38
229;COMPUD;38
230;GONZOL;38
231;LLAGOS;38
232;CAJABAMBA;39
233;CAÑI;39
234;COLUMBE;39
235;JUAN DE VELASCO (PANGOR);39
236;SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO);39
237;SICALPA;39
238;VILLA LA UNIÓN (CAJABAMBA);39
239;CUMANDÁ;40
240;CEBADAS;41
241;GUAMOTE;41
242;PALMIRA;41
243;EL ROSARIO;42
244;GUANANDO;42
245;GUANO;42
246;ILAPO;42
247;LA MATRIZ;42
248;LA PROVIDENCIA;42
249;SAN ANDRÉS;42
250;SAN GERARDO DE PACAICAGUÁN;42
251;SAN ISIDRO DE PATULÚ;42
252;SAN JOSÉ DEL CHAZO;42
253;SANTA FÉ DE GALÁN;42
254;VALPARAÍSO;42
255;PALLATANGA;43
256;BILBAO (CAB.EN QUILLUYACU);44
257;EL ALTAR;44
258;LA CANDELARIA;44
259;MATUS;44
260;PENIPE;44
261;PUELA;44
262;SAN ANTONIO DE BAYUSHIG;44
263;CACHA (CAB. EN MACHÁNGARA);45
264;CALPI;45
265;CUBIJÍES;45
266;FLORES;45
267;LICÁN;45
268;LICTO;45
269;LIZARZABURU;45
270;MALDONADO;45
271;PUNGALÁ;45
272;PUNÍN;45
273;QUIMIAG;45
274;RIOBAMBA;45
275;SAN JUAN;45
276;SAN LUIS;45
277;VELASCO;45
278;VELOZ;45
279;YARUQUÍES;45
280;EL CARMEN;46
281;EL TRIUNFO;46
282;GUASAGANDA (CAB.EN GUASAGANDA;46
283;LA MANÁ;46
284;PUCAYACU;46
285;11 DE NOVIEMBRE (ILINCHISI);47
286;ALAQUES (ALÁQUEZ);47
287;BELISARIO QUEVEDO (GUANAILÍN);47
288;ELOY ALFARO (SAN FELIPE);47
289;GUAITACAMA (GUAYTACAMA);47
290;IGNACIO FLORES (PARQUE FLORES);47
291;JOSEGUANGO BAJO;47
292;JUAN MONTALVO (SAN SEBASTIÁN);47
293;LA MATRIZ;47
294;LAS PAMPAS;47
295;LATACUNGA;47
296;MULALÓ;47
297;PALO QUEMADO;47
298;POALÓ;47
299;SAN BUENAVENTURA;47
300;SAN JUAN DE PASTOCALLE;47
301;SIGCHOS;47
302;TANICUCHÍ;47
303;TOACASO;47
304;EL CORAZÓN;48
305;MORASPUNGO;48
306;PINLLOPATA;48
307;RAMÓN CAMPAÑA;48
308;ANGAMARCA;49
309;CHUCCHILÁN (CHUGCHILÁN);49
310;GUANGAJE;49
311;ISINLIBÍ (ISINLIVÍ);49
312;LA VICTORIA;49
313;PILALÓ;49
314;PUJILÍ;49
315;TINGO;49
316;ZUMBAHUA;49
317;ANTONIO JOSÉ HOLGUÍN (SANTA LUCÍA);50
318;CUSUBAMBA;50
319;MULALILLO;50
320;MULLIQUINDIL (SANTA ANA);50
321;PANSALEO;50
322;SAN MIGUEL;50
323;CANCHAGUA;51
324;CHANTILÍN;51
325;COCHAPAMBA;51
326;SAQUISILÍ;51
327;CHUGCHILLÁN;52
328;ISINLIVÍ;52
329;LAS PAMPAS;52
330;PALO QUEMADO;52
331;SIGCHOS;52
332;ARENILLAS;53
333;CARCABÓN;53
334;CHACRAS;53
335;LA LIBERTAD;53
336;LAS LAJAS (CAB. EN LA VICTORIA);53
337;PALMALES;53
338;AYAPAMBA;54
339;CORDONCILLO;54
340;MILAGRO;54
341;PACCHA;54
342;SAN JOSÉ;54
343;SAN JUAN DE CERRO AZUL;54
344;BALSAS;55
345;BELLAMARÍA;55
346;CHILLA;56
347;BARBONES (SUCRE);57
348;EL GUABO;57
349;LA IBERIA;57
350;RÍO BONITO;57
351;TENDALES (CAB.EN PUERTO TENDALES);57
352;ECUADOR;58
353;EL PARAÍSO;58
354;HUALTACO;58
355;HUAQUILLAS;58
356;MILTON REYES;58
357;UNIÓN LOJANA;58
358;EL PARAÍSO;59
359;LA LIBERTAD;59
360;LA VICTORIA;59
361;PLATANILLOS;59
362;SAN ISIDRO;59
363;VALLE HERMOSO;59
364;EL CAMBIO;60
365;EL RETIRO;60
366;LA PROVIDENCIA;60
367;MACHALA;60
368;NUEVE DE MAYO;60
369;PUERTO BOLÍVAR;60
370;EL INGENIO;61
371;MARCABELÍ;61
372;BOLÍVAR;62
373;BUENAVISTA;62
374;CAÑAQUEMADA;62
375;CASACAY;62
376;LA PEAÑA;62
377;LOMA DE FRANCO;62
378;OCHOA LEÓN (MATRIZ);62
379;PASAJE;62
380;PROGRESO;62
381;TRES CERRITOS;62
382;UZHCURRUMI;62
383;CAPIRO (CAB. EN LA CAPILLA DE CAPIRO);63
384;LA BOCANA;63
385;LA MATRIZ;63
386;LA SUSAYA;63
387;MOROMORO (CAB. EN EL VADO);63
388;PIEDRAS;63
389;PIÑAS;63
390;PIÑAS GRANDE;63
391;SAN ROQUE (AMBROSIO MALDONADO);63
392;SARACAY;63
393;CURTINCAPA;64
394;MORALES;64
395;PORTOVELO;64
396;SALATÍ;64
397;BALNEARIO JAMBELÍ (SATÉLITE);65
398;BELLAMARÍA;65
399;BELLAVISTA;65
400;JAMBELÍ;65
401;JUMÓN (SATÉLITE);65
402;LA AVANZADA;65
